"Riga Excel";"FONDO";"Comune";"Provincia";"Indirizzo";"Destinazione";"Sup. lorda (mq)";"Asking price file";"Prezzo file (col. K)";"VALORE RIVENDITA";"Metodo";"Affidabilita";"EUR/mq applicato";"EUR/mq min OMI";"EUR/mq max OMI";"Zona OMI";"Descrizione zona OMI";"Semestre OMI";"Tipologia OMI";"Stato conservativo";"Fonte";"URL fonte";"Data fonte";"Motivazione";"Avvisi"
"8";"FAB";"Romano di Lombardia";"BG";"Via del Commercio 7";"Uffici";"346";;;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"D2";"ZONA PERIFERICA";"2025-2";"";"";"";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H509/BG00009088/20252/T/D2/0/0";"";"L'OMI non pubblica quotazioni per la destinazione Terziaria nella zona D2 (ZONA PERIFERICA) del comune di Romano di Lombardia, semestre 2025 - semestre 2.";"Zona rurale/periferica senza quotazione pubblicata per questa destinazione."
"9";"FAB";"Monzuno";"BO";"Fraz. Vado - Località Murazze Via Casaglia - podere agricolo Casone";"Terreni agricoli";"89311";"30000";;"44000";"comparabili";"ALTA";"0,49";;;"B1";"CAPOLUOGO E FRAZIONE SELVE";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97331910/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 44.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"10";"FAB";"Brescia";"BS";"Via Trento 9";"Commerciale";"174,64999999999998";"160000";;"266341";"omi";"ALTA";"1525";"1300";"1750";"C1";"VIA VENETO, VIA CROCIFISSA DI ROSA, OSPEDALE, MOMPIANO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?B157/BS00000065/20252/C/C1/0/0";"2025-2";"Quotazione OMI del comune di Brescia, zona C1 (VIA VENETO, VIA CROCIFISSA DI ROSA, OSPEDALE, MOMPIANO), fascia C, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 1300-1750 EUR/mq su superficie lorda. Valore centrale 1525 EUR/mq x 174.64999999999998 mq lordi.";""
"11";"FAB";"Cento";"FE";"Via Ghisellini";"Residenziale";"2517,9900000000002";"420000";;"675000";"comparabili";"ALTA";"268,07";;;"R1";"ZONA RURALE E FRAZIONI MINORI";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97331912/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 675.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa. | Annuncio: tre palazzine in corso di costruzione (839 mq ciascuna, 11 appartamenti e 11 box per palazzina); una sola ha platea e tre pilastri. Superficie annuncio 3.177 mq contro 2.518 mq del file."
"12";"FAB";"Ferrara";"FE";"Via Centoversuri n.24 int.2";"Residenziale";"326";"110000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"1725";"1600";"1850";"B4";"CITTA` ENTRO LE MURA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D548/FE00001540/20252/R/B4/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (110000 EUR su 326 mq) implica 337 EUR/mq, pari al 21% del minimo OMI di zona (1600 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 562.350 EUR, valore non attendibile. Quotazione OMI del comune di Ferrara, zona B4 (CITTA` ENTRO LE MURA), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1600-1850 EUR/mq su superficie lorda. Valore centrale 1725 EUR/mq x 326 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"13";"FAB";"Alatri";"FR";"Via Croci 1";"Residenziale";"2489,5";"130000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"725";"610";"840";"B1";"AGGL.URB.DELIMITATO DALLE MURA MEGALITICHE (V.ROMA,C.";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?A123/FR00000051/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (130000 EUR su 2489.5 mq) implica 52 EUR/mq, pari al 9% del minimo OMI di zona (610 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 1.804.888 EUR, valore non attendibile. Quotazione OMI del comune di Alatri, zona B1 (AGGL.URB.DELIMITATO DALLE MURA MEGALITICHE (V.ROMA,C.), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 610-840 EUR/mq su superficie lorda. Valore centrale 725 EUR/mq x 2489.5 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"14";"FAB";"Ceccano";"FR";"Loc. Colle Alto (FR)";"Terreni agricoli";"13295";"12000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"B1";"P.BERARDI,V.PURGATORIO,V.PRINC.UMBERTO,BG.S.MARTINO,V.S.PIETRO,V.MADONNA DEGLI ANGELI,V.CAVOUR,P.CASTELLO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"15";"FAB";"Ferentino";"FR";"loc. Bagnatore";"Terreni agricoli";"2600";"6500";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"D1";"ACQUAFORTE,GROTTICELLE,MACERONI,BUFALA,S.CATERINA,COLLE ROSA,PANTANO S.ANTONIO";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"16";"FAB";"Ferentino";"FR";"Via Giovine Tofe Morolo n.ro 237";"Residenziale";"4625";"62000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"685";"580";"790";"B1";"V.ANTICA ACROPOLI,V.20 SETTEMBRE,P.UMBERTO I,V.DIONIGI,P.MAZZINI,V.REG. MARGHERITA";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D539/FR00000212/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (62000 EUR su 4625 mq) implica 13 EUR/mq, pari al 2% del minimo OMI di zona (580 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 3.168.125 EUR, valore non attendibile. Quotazione OMI del comune di Ferentino, zona B1 (V.ANTICA ACROPOLI,V.20 SETTEMBRE,P.UMBERTO I,V.DIONIGI,P.MAZZINI,V.REG. MARGHERITA), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 580-790 EUR/mq su superficie lorda. Valore centrale 685 EUR/mq x 4625 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"17";"FAB";"Ripi";"FR";"Via Succurre Miseris 48";"Residenziale";"1173";"85000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"542,5";"435";"650";"D3";"SELVAPIANA,SUCCURRE MISERIS,V.DELLO STATUTO,MERINGO ALTO,CUPERA,BG.S.TOMMASO";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?H324/FR00001769/20252/R/D3/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (85000 EUR su 1173 mq) implica 72 EUR/mq, pari al 17% del minimo OMI di zona (435 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 636.352 EUR, valore non attendibile. Quotazione OMI del comune di Ripi, zona D3 (SELVAPIANA,SUCCURRE MISERIS,V.DELLO STATUTO,MERINGO ALTO,CUPERA,BG.S.TOMMASO), fascia D, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 435-650 EUR/mq su superficie lorda. Valore centrale 542 EUR/mq x 1173 mq lordi.";"Immobile occupato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero. | Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"18";"FAB";"Veroli";"FR";"Lotto 4 - Sub. 6";"Residenziale";"230";"55000";;"156400";"omi";"BASSA";"680";"560";"800";"B1";"P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L780/FR00000406/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Veroli, zona B1 (P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 560-800 EUR/mq su superficie lorda. Valore centrale 680 EUR/mq x 230 mq lordi.";"Il prezzo richiesto implica 239 EUR/mq, pari al 43% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"19";"FAB";"Veroli";"FR";"Lotto 3 - Sub. 5";"Residenziale";"579";"90000";;;"omi-incoerente";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";"680";"560";"800";"B1";"P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L780/FR00000406/20252/R/B1/0/0";"2025-2";"Superficie e prezzo del file sono incoerenti fra loro: il prezzo richiesto (90000 EUR su 579 mq) implica 155 EUR/mq, pari al 28% del minimo OMI di zona (560 EUR/mq). La superficie indicata non e' compatibile con la superficie commerciale di un fabbricato: e' verosimilmente l'area del lotto o l'aggregato di piu' unita. Applicare il valore OMI al mq a questa superficie produrrebbe 393.720 EUR, valore non attendibile. Quotazione OMI del comune di Veroli, zona B1 (P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 560-800 EUR/mq su superficie lorda. Valore centrale 680 EUR/mq x 579 mq lordi.";"Serve la superficie commerciale reale, oppure una stima da comparabili sull immobile specifico."
"20";"FAB";"Veroli";"FR";"Lotto 2 - Sub. 4";"Residenziale";"162";"58000";;"110160";"omi";"MEDIA";"680";"560";"800";"B1";"P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L780/FR00000406/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Veroli, zona B1 (P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 560-800 EUR/mq su superficie lorda. Valore centrale 680 EUR/mq x 162 mq lordi.";""
"21";"FAB";"Veroli";"FR";"Via Casalotto";"Residenziale";"971";;;"660280";"omi";"MEDIA";"680";"560";"800";"B1";"P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?L780/FR00000406/20252/R/B1/0/0";"2025-2";"Quotazione OMI del comune di Veroli, zona B1 (P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,), fascia B, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 560-800 EUR/mq su superficie lorda. Valore centrale 680 EUR/mq x 971 mq lordi.";""
"22";"FAB";"Veroli";"FR";"Via Colle Ciaffone 56";"Logistico/Produttivo";"2965";"45000";;"65000";"comparabili";"ALTA";"21,92";;;"B1";"P.DUOMO,P.UNITA,V.CASTELLO,P.SELLE,P.BISLETI,V.MARTELLO,V.UMBERTO,V.VITT.EMANUELE,V.GRACILIA,V.PALEARIO,V.CIOLFI,";"2025-2";"";"";"Immobiliare.it - annuncio di vendita dello stesso immobile, pubblicato da iQera Italia SPA";"https://www.immobiliare.it/annunci/97355896/";"2026-09-09";"Lo stesso immobile risulta pubblicato in vendita: prezzo richiesto sul mercato 65.000 EUR. E' il riferimento piu diretto possibile per il valore di rivendita, perche non e' una media di zona ma il prezzo a cui questo specifico immobile e' offerto al pubblico.";"Il valore e un prezzo RICHIESTO, non un prezzo di vendita concluso: il realizzo effettivo sara di norma inferiore per effetto della trattativa."
"23";"FAB";"Cormons";"GO";"Via Dante Alighieri";"Commerciale";"800";"500000";;"508000";"omi";"ALTA";"635";"540";"730";"B1";"CAPOLUOGO - CENTRO ABITATO";"2025-2";"Negozi";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?D014/GO00000043/20252/C/B1/0/0";"2025-2";"Quotazione OMI del comune di Cormons, zona B1 (CAPOLUOGO - CENTRO ABITATO), fascia B, destinazione Commerciale, tipologia 'Negozi', stato conservativo 'NORMALE' (normale): 540-730 EUR/mq su superficie lorda. Valore centrale 635 EUR/mq x 800 mq lordi.";"Immobile locato: lo stato occupazionale riduce il prezzo realizzabile e allunga i tempi; la quotazione OMI si riferisce a immobile libero."
"24";"FAB";"Mirandola";"MO";"Loc. Gavello  Via Davanti n. 18";"Terreni agricoli";"10581";"28000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"R2";"ZONA AGRICOLA E LOCALITA` MINORI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"25";"FAB";"Mirandola";"MO";"Loc. Gavello Via Davanti n. 14";"Terreni agricoli";"10892";"28000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"R2";"ZONA AGRICOLA E LOCALITA` MINORI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"26";"FAB";"Mirandola";"MO";"Loc. Gavello Via Davanti n.14-18";"Terreni agricoli";"21473";;;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"R2";"ZONA AGRICOLA E LOCALITA` MINORI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"27";"FAB";"Mirandola";"MO";"loc. San Giacomo Roncole Via Statale Sud n. 207";"Residenziale";"273";"106000";;"286650";"omi";"ALTA";"1050";"850";"1250";"D7";"FRAZIONE DI SAN GIACOMO RONCOLE - ZONE PRODUTTIVE SUD";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F240/MO00011065/20252/R/D7/0/0";"2025-2";"Quotazione OMI del comune di Mirandola, zona D7 (FRAZIONE DI SAN GIACOMO RONCOLE - ZONE PRODUTTIVE SUD), fascia D, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 850-1250 EUR/mq su superficie lorda. Valore centrale 1050 EUR/mq x 273 mq lordi.";"Il prezzo richiesto implica 388 EUR/mq, pari al 46% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"28";"FAB";"Mirandola";"MO";"Via Mazzone n 112/114";"Residenziale";"378";"165000";;"434700";"omi";"MEDIA";"1150";"1000";"1300";"D5";"AMBITI RESIDENZIALI CONSOLIDATI E DI ESPANSIONE";"2025-2";"Abitazioni civili";"NORMALE";"Agenzia delle Entrate - Osservatorio del Mercato Immobiliare (OMI) - 2025 - semestre 2";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F240/MO00010000/20252/R/D5/0/0";"2025-2";"Quotazione OMI del comune di Mirandola, zona D5 (AMBITI RESIDENZIALI CONSOLIDATI E DI ESPANSIONE), fascia D, destinazione Residenziale, tipologia 'Abitazioni civili', stato conservativo 'NORMALE' (normale): 1000-1300 EUR/mq su superficie lorda. Valore centrale 1150 EUR/mq x 378 mq lordi.";"Il prezzo richiesto implica 437 EUR/mq, pari al 44% del minimo OMI di zona: verificare la superficie commerciale e lo stato dell'immobile."
"29";"FAB";"Mirandola";"MO";"Via Morandi  n.28";"Terreni edificabili";"16214";"275000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"R2";"ZONA AGRICOLA E LOCALITA` MINORI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni edificabili): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"30";"FAB";"Mirandola";"MO";"Via Morandi  n.28";"Terreni agricoli";"52147";"665000";;;"nessuno";"STIMA NON AFFIDABILE - DATI INSUFFICIENTI";;;;"R2";"ZONA AGRICOLA E LOCALITA` MINORI";"2025-2";"";"";"";"";"";"L'OMI non pubblica quotazioni per questa destinazione (Terreni agricoli): terreni, immobili 'Altro' e ricettivi non rientrano nelle quattro destinazioni OMI (Residenziale, Commerciale, Terziaria, Produttiva).";"Serve una stima da comparabili di mercato o da fonte specifica per la tipologia."
"31";"FAB";"Mirandola";"MO";"Via Tosatti n.31";"Residenziale";"540";"170000";"145000";"145000";"file";"DATO DA FILE";"268,52";;;"D5";"AMBITI RESIDENZIALI CONSOLIDATI E DI ESPANSIONE";"2025-2";"";"";"Colonna ""a quanto si vende info 09/2026"" del file Excel";"https://www1.agenziaentrate.gov.it/servizi/geopoi_omi/stampaomi.php?F240/MO00010000/20252/R/D5/0/0";"2026-09";"Valore di rivendita gia indicato nel file: mantenuto invariato, non ricalcolato.";""
